experiment,feature_number,network,libraryID,manual check - Library,manual check - CANOPUS,conciseConsensusLibrary,conciseConsensusCanopus,conciseConsensusLevelLibrary,GnpsJobID,Mirror Plot verified?
dataset1,19187,811,4-Pregnene-20.alpha.-ol-3-one,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,5918,-1,4-QUINOLINECARBOXYLATE,correct,NA,Quinoline carboxylic acids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,6940,-1,4-QUINOLINECARBOXYLATE,correct,NA,Quinoline carboxylic acids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,1195,23,4-QUINOLINECARBOXYLATE,correct,NA,Benzoic acids and derivatives,NA,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,2880,263,"4-Thiazolidinecarboxylic acid, 2-undecyl-, (4R)-",correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2880,1762,"4-Thiazolidinecarboxylic acid, 2-undecyl-, (4R)-",correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2519,1827,"4,6-Quinazolinediamine, N4-[2-(4-phenoxyphenyl)ethyl]-",correct?,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2519,1431,"4,6-Quinazolinediamine, N4-[2-(4-phenoxyphenyl)ethyl]-",correct?,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,842,-1,4.alpha.-Hydroxystanozolol,correct,NA,Estrane steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,991,393,4.alpha.-Hydroxystanozolol,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,991,766,4.alpha.-Hydroxystanozolol,correct,NA,Estrane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6204,-1,4.alpha.-Hydroxystanozolol,correct,NA,Estrane steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,17260,2023,"4(Z),7(Z),10(Z),13(Z),16(Z)-N-(2-Hydroxyethyl)docosapentaenamide",correct,correct,Amines,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,17260,78,"4(Z),7(Z),10(Z),13(Z),16(Z)-N-(2-Hydroxyethyl)docosapentaenamide",correct,NA,Amines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4338,2749,"5-[5-(acetyloxymethyl)-1,2,4a-trimethyl-7-oxo-3,4,8,8a-tetrahydro-2H-naphthalen-1-yl]-3-methylpentanoic acid",correct?,correct?,Diterpenoids,Organic oxygen compounds,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4338,6168,"5-[5-(acetyloxymethyl)-1,2,4a-trimethyl-7-oxo-3,4,8,8a-tetrahydro-2H-naphthalen-1-yl]-3-methylpentanoic acid",correct?,NA,Diterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11390,1501,5-Amino-1-naphthol,correct,incorrect?,Naphthols and derivatives,Dicarboxylic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14617,1501,5-Amino-1-naphthol,correct,incorrect?,Naphthols and derivatives,Dicarboxylic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11390,5180,5-Amino-1-naphthol,correct,NA,Naphthols and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14617,5180,5-Amino-1-naphthol,correct,NA,Naphthols and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,1775,122,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,3953,122,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,3954,122,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,5271,822,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,NA,Lipids and lipid-like molecules,NA,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,5577,97,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,8438,122,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,9194,97,"5-Androsten-3.beta.,16.alpha.-diol-17-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,1194,124,"5-Androstene-3.beta.,17.beta.-diol",correct,NA,Lipids and lipid-like molecules,NA,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,6288,-1,"5-Heptenoic acid, 7-[(1R,2R,3S,5S)-2-[(1E,3R)-3-(2,3-dihydro-1H-inden-2-yl)-3-hydroxy-1-propen-1-yl]-3-fluoro-5-hydroxycyclopentyl]-, (5Z)-",correct,NA,Fatty acids and conjugates,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,9043,-1,"5-Heptenoic acid, 7-[(1R,2R,3S,5S)-2-[(1E,3R)-3-(2,3-dihydro-1H-inden-2-yl)-3-hydroxy-1-propen-1-yl]-3-fluoro-5-hydroxycyclopentyl]-, (5Z)-",correct,NA,Fatty acids and conjugates,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,11118,3675,"5-Heptenoic acid, 7-[(1R,4S,5S,6R)-6-[(1E,3S)-3-hydroxy-1-octenyl]-2-oxabicyclo[2.2.1]hept-5-yl]-, (5E)-",correct,correct,Eicosanoids,Prenol lipids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11118,2158,"5-Heptenoic acid, 7-[(1R,4S,5S,6R)-6-[(1E,3S)-3-hydroxy-1-octenyl]-2-oxabicyclo[2.2.1]hept-5-yl]-, (5E)-",correct,NA,Eicosanoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,2791,97,"5-Heptenoic acid, 7-[(1S,2S,3S,5R)-3-[[(4-iodophenyl)sulfonyl]amino]-6,6-dimethylbicyclo[3.1.1]hept-2-yl]-, (5Z)-",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,3890,2530,"5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)-",correct,correct,Lipids and lipid-like molecules,Steroids and steroid derivatives,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8717,-1,"5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)-",correct,NA,Benzenesulfonamides,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,18218,-1,"5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)-",correct,NA,Benzenesulfonamides,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,3890,959,"5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)-",correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6870,-1,5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB],correct,NA,Benzoic acids and derivatives,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,20546,-1,5-Nitroso-8-quinolinol,correct,NA,8-hydroxyquinolines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,13251,-1,"5-Pregnene-3.beta.,17,20.alpha.-triol",correct,NA,Pregnane steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,1170,393,5.alpha.-Androstan-17.beta.-ol-3-one,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15142,-1,5.alpha.-Androstan-17.beta.-ol-3-one,correct,NA,Androstane steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,15145,4018,5.alpha.-Androstan-17.beta.-ol-3-one,correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1170,599,5.alpha.-Androstan-17.beta.-ol-3-one,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15145,1672,5.alpha.-Androstan-17.beta.-ol-3-one,correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4300,-1,"5.alpha.-Pregnan-3.alpha.-ol-11,20-dione",correct,NA,Pregnane steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,1016,393,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8439,74,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",correct,correct,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,16464,393,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1016,2132,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",correct,NA,Steroids and steroid derivatives,NA,class,16616afa8edd490ea7e50cc316a20222,
dataset1,8439,-1,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",correct,NA,Hydroxysteroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,16464,2132,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",correct,NA,Steroids and steroid derivatives,NA,class,16616afa8edd490ea7e50cc316a20222,
dataset1,1027,393,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2456,393,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14237,-1,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,NA,Hydroxysteroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,19957,393,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1027,598,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,NA,Hydroxysteroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2456,598,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,NA,Hydroxysteroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,19957,-1,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",correct,NA,Hydroxysteroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,4521,-1,"5(6)-Epoxy-8Z,11Z,14Z,17Z-eicosatetraenoic acid, methyl ester",correct,NA,Fatty acid esters,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,2908,367,"5(6)-Epoxy-8Z,11Z,14Z,17Z-eicosatetraenoic acid, methyl ester",correct,correct,Fatty acid esters,Fatty Acyls,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,3994,367,"5(6)-Epoxy-8Z,11Z,14Z,17Z-eicosatetraenoic acid, methyl ester",correct,correct,Fatty acid esters,Fatty Acyls,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,18446,-1,6-Bromoquinolin-3-ol,correct,NA,Haloquinolines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,18448,2586,6-Bromoquinolin-3-ol,correct,correct,Haloquinolines,Benzenoids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18448,2075,6-Bromoquinolin-3-ol,correct,NA,Haloquinolines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,20658,134,6.beta.-Hydroxyfluoxymesterone,correct,correct,Androstane steroids,Prenol lipids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,20658,2702,6.beta.-Hydroxyfluoxymesterone,correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,3952,122,6.beta.-Hydroxytestosterone,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,1281,393,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1459,393,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,17315,393,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1281,4210,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",correct,NA,1-benzopyrans,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1459,-1,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",correct,NA,1-benzopyrans,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,17315,-1,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",correct,NA,1-benzopyrans,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,10597,480,7-Hydroxycoumarinyl .gamma.-linolenate,correct,correct,Lineolic acids and derivatives,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,10597,6034,7-Hydroxycoumarinyl .gamma.-linolenate,correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6526,1978,7-keto DHEA,correct,correct,Androstane steroids,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6526,1452,7-keto DHEA,correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12267,-1,7.alpha.-Thiospironolactone,correct,NA,Steroid lactones,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,9603,4168,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,correct,Androstane steroids,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9626,4168,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,correct,Androstane steroids,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14779,3053,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,correct,Androstane steroids,Estrane steroids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14786,3053,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,correct,Androstane steroids,Estrane steroids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9603,76,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9626,76,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14779,3953,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14786,3953,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",correct,NA,Androstane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,3988,199,7'-carboxy-N-geranyl-L-gluatamic acid,correct,correct,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,5710,5372,"7(Z),10(Z),13(Z),16(Z),19(Z)-N-(2-Hydroxyethyl)docosapentaenamide",correct,correct,Amines,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,5710,4,"7(Z),10(Z),13(Z),16(Z),19(Z)-N-(2-Hydroxyethyl)docosapentaenamide",correct,NA,Amines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13650,3297,"7S,8,17S-Trihydroxydocosa-4Z,9E,11E,13Z,15E,19Z-hexaenoic acid",correct,incorrect?,Fatty acids and conjugates,Zearalenones,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13650,4636,"7S,8,17S-Trihydroxydocosa-4Z,9E,11E,13Z,15E,19Z-hexaenoic acid",correct,NA,Fatty acids and conjugates,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8791,5439,8-Iso-16-cyclohexyltetranorprostaglandin E2,correct,correct,Eicosanoids,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,3935,705,"8(9)-Epoxy-5Z,11Z,14Z,17Z-eicosatetraenoic acid",correct,correct,Fatty Acyls,Fatty acids and conjugates,class,89c9d8b0a49d467390b70dd337bc7015,
dataset1,2255,3380,"8S-Hydroxy-4Z,6E,10Z-hexadecatrienoic acid",correct,incorrect?,Fatty acids and conjugates,Steroids and steroid derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2255,2749,"8S-Hydroxy-4Z,6E,10Z-hexadecatrienoic acid",correct,NA,Fatty acids and conjugates,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,3686,822,"8S-Hydroxy-4Z,6E,10Z-hexadecatrienoic acid",correct,NA,Lipids and lipid-like molecules,NA,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,11792,508,9-Deoxy-9-methyleneprostaglandin E2,correct,NA,Fatty acids and conjugates,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8830,5490,"9-Oxo-10(E),12(E)-octadecadienoic acid",correct,correct,Lineolic acids and derivatives,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8830,42,"9-Oxo-10(E),12(E)-octadecadienoic acid",correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3541,1140,"9-Oxo-10E,12Z-octadecadienoic acid",correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7338,5490,"9-Oxo-10E,12Z-octadecadienoic acid",correct,correct,Lineolic acids and derivatives,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3541,1434,"9-Oxo-10E,12Z-octadecadienoic acid",correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7338,42,"9-Oxo-10E,12Z-octadecadienoic acid",correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6995,165,"9-Oxo-10E,12Z,15Z-octadecatrienoic acid",correct,correct,Fatty Acyls,Lipids and lipid-like molecules,class,16616afa8edd490ea7e50cc316a20222,
dataset1,6995,1487,"9-Oxo-10E,12Z,15Z-octadecatrienoic acid",correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7641,2292,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,correct,correct,Fatty Acyls,Lipids and lipid-like molecules,class,16616afa8edd490ea7e50cc316a20222,
dataset1,9187,-1,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,correct,NA,Fatty acids and conjugates,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,10470,3009,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,correct,correct,Fatty Acyls,Lipids and lipid-like molecules,class,16616afa8edd490ea7e50cc316a20222,
dataset1,11979,-1,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,correct,NA,Fatty acids and conjugates,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,7641,1963,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,correct?,NA,Eicosanoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,10470,6099,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,correct,NA,Fatty Acyls,NA,class,16616afa8edd490ea7e50cc316a20222,
dataset1,1220,393,"9,12-Octadecadiynoic acid",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1220,599,"9,12-Octadecadiynoic acid",correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1070,393,"9.alpha.-Fluoro-17,17-dimethyl-18-norandrostane-4,13-dien-11.beta.-ol-3-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6436,393,"9.alpha.-Fluoro-17,17-dimethyl-18-norandrostane-4,13-dien-11.beta.-ol-3-one",correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1070,-1,"9.alpha.-Fluoro-17,17-dimethyl-18-norandrostane-4,13-dien-11.beta.-ol-3-one",correct,NA,Oxosteroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,15262,-1,9(10)-Epoxy-12Z-octadecenoic acid,correct,NA,Fatty acids and conjugates,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,2352,570,ACARBOSE,correct,correct,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,3431,570,ACARBOSE,correct,correct,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,9799,570,ACARBOSE,correct,correct,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset4,763,233,ACARBOSE,correct,correct,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,subclass,a94feb20e4214375bf89dfbe2b28fbd4,
dataset1,4518,-1,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",correct,NA,Carbonyl compounds,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,8311,3828,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",correct,correct,Carbonyl compounds,Benzene and substituted derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15693,3828,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",correct,correct,Carbonyl compounds,Benzene and substituted derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8311,2187,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",correct,NA,Carbonyl compounds,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15693,2187,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",correct,NA,Carbonyl compounds,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3274,1841,Adipoyl-L-carnitine,correct,correct,Fatty acid esters,Fatty acid esters,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11164,1841,Adipoyl-L-carnitine,correct,correct,Fatty acid esters,Fatty acid esters,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3274,1409,Adipoyl-L-carnitine,correct,NA,Fatty acid esters,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11164,1409,Adipoyl-L-carnitine,correct,NA,Fatty acid esters,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4274,-1,Adrenosterone,correct,NA,Androstane steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,3737,241,Ala-Phe,correct,correct,"Amino acids, peptides, and analogues",Organic acids and derivatives,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,314,1015,Aleuritic acid,correct,correct,Fatty acids and conjugates,Fatty Acyls,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,314,650,Aleuritic acid,correct,NA,Fatty acids and conjugates,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13224,420,"all-trans-13,14-Dihydroretinol",correct,correct,Retinoids,Lipids and lipid-like molecules,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13224,354,"all-trans-13,14-Dihydroretinol",correct,NA,Retinoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2005,627,all-trans-4-Hydroxyretinoic acid,correct,correct,Lipids and lipid-like molecules,Prenol lipids,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8147,627,all-trans-4-Hydroxyretinoic acid,correct,correct,Lipids and lipid-like molecules,Prenol lipids,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8323,393,all-trans-4-Hydroxyretinoic acid,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,10601,393,all-trans-4-Hydroxyretinoic acid,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14627,627,all-trans-4-Hydroxyretinoic acid,correct,correct,Lipids and lipid-like molecules,Prenol lipids,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15724,-1,all-trans-4-Hydroxyretinoic acid,correct,NA,Retinoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
