experiment,feature_number,network,libraryID,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,GnpsJobID
dataset1,14456,1128,Mesterolone,Androstane steroids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14491,1128,2.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one,Androstane steroids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14573,3662,17-Octadecynoic acid,Fatty acids and conjugates,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14575,-1,Massbank:LU083602 UK-156819|5-(2-Methyl-3-(pyridin-3-yl)-1H-indol-1-yl)pentanoic acid|5-(2-methyl-3-pyridin-3-ylindol-1-yl)pentanoic acid,Indolyl carboxylic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14617,1501,5-Amino-1-naphthol,Naphthols and derivatives,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14627,627,all-trans-4-Hydroxyretinoic acid,Lipids and lipid-like molecules,1,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14629,-1,Nodakenin,Furanocoumarins,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14651,-1,18-Carboxydinorleukotriene B4,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14668,-1,Isopimaric acid,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14671,-1,Ile-Met,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14673,245,Spectral Match to Nonaethylene glycol from NIST14,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14682,-1,"2,3-bis[(4-hydroxy-3-methoxyphenyl)methyl]butane-1,4-diol",Dibenzylbutanediol lignans,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14692,-1,Kynuramine,Carbonyl compounds,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14699,-1,Nodakenin,Furanocoumarins,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14710,-1,.alpha.-L-Asp-L-Lys,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14764,-1,Massbank:PR311142 Cyclo(leucylprolyl),"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14767,-1,"2,4,6-Tri-tert-butylaniline",Phenylpropanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14774,-1,"Quinoline-2,8-diol",Quinolones and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14779,3053,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",Androstane steroids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14786,3053,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",Androstane steroids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14800,-1,Methasterone,Androstane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14819,2796,1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine,Glycerophosphocholines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14827,-1,"2-Cyclopentene-1-octanoic acid, 5-(2-carboxyethyl)-.epsilon.,4-dioxo-, (1S,5R)-",Medium-chain keto acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14869,-1,Tyr-Leu,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14970,917,Lupinine,Lupinine-type alkaloids,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,14985,393,Estriol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15047,2164,(-)-Hydroxymatairesinol,Tetrahydrofuran lignans,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15083,-1,"Methanone, (1-heptyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15102,1876,N-Palmitoyl-D-sphingosine,Ceramides,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15136,-1,Trp-Pro,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15142,-1,5.alpha.-Androstan-17.beta.-ol-3-one,Androstane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15145,4018,5.alpha.-Androstan-17.beta.-ol-3-one,Androstane steroids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15149,-1,11.beta.-Misoprostol,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15198,141,3-Iodo-L-tyrosine,"Amino acids, peptides, and analogues",1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15224,21,Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate,Fatty acid esters,1,subclass,21,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15238,148,"Massbank:LU052302 Acetyl tributyl citrate|tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",Tetracarboxylic acids and derivatives,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15262,-1,9(10)-Epoxy-12Z-octadecenoic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15263,667,Normeperidine,Phenylpiperidines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15292,-1,Gatifloxacin,Quinoline carboxylic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15325,-1,NCGC00384800-01_C21H34O10_,Terpene glycosides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15334,-1,Isoalantolactone,Terpene lactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15537,393,.beta.-Estradiol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15652,1888,Anisatin,Terpene lactones,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15693,3828,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",Carbonyl compounds,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15699,249,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-",Lipids and lipid-like molecules,0.5384615384615384,superclass,13,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15712,249,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-",Lipids and lipid-like molecules,0.5384615384615384,superclass,13,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15718,74,.alpha.-Ionone,Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15724,-1,all-trans-4-Hydroxyretinoic acid,Retinoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15732,512,2-Methyl-N-(4-Methylphenyl)alanine,"Amino acids, peptides, and analogues",0.85,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15738,-1,Pentosidine,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15785,21,Massbank:RP025302 Octanoyl-L-Carnitine|L-Octanoylcarnitine|(3R)-3-octanoyloxy-4-(trimethylazaniumyl)butanoate,Fatty acid esters,1,subclass,21,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15809,-1,"Massbank:LU031502 4,4'-Methylenebis(2,6-diethylaniline)|4-[(4-amino-3,5-diethylphenyl)methyl]-2,6-diethylaniline",Diphenylmethanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15814,2367,Oleic acid methyl ester,Fatty acid esters,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15836,-1,Avobenzone,Chalcones and dihydrochalcones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15852,36,"""""""N,N-Dimethyldodecylamine N-oxide""""""",Aminoxides,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15962,-1,"1H-1,2,3-Triazole-1-octanamide, N-[1,1'-biphenyl]-2-yl-4-(3-pyridinyl)-",Biphenyls and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15978,-1,Arachidonoyl ethanolamide,Carboximidic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,15987,-1,PERHEXILINE,Dicarboxylic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16046,21,3-Hydroxyhexadecanoylcarnitine,Fatty acid esters,1,subclass,21,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16050,-1,"Benzeneethanamine, 2,5-dimethoxy-N-[(2-methoxyphenyl)methyl]-3,4-dimethyl-",Methoxybenzenes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16051,247,NCGC00381347-01!5-acetamido-4-oxohexanoic acid,Carbohydrates and carbohydrate conjugates,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16092,5723,"2,4,6-Tri-tert-butylaniline",Phenylpropanes,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16112,-1,3-Hydroxystanozolol glucuronide,Steroidal glycosides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16175,393,"Massbank:EQ303101 Xylometazoline|2-(4-tert-butyl-2,6-dimethyl-benzyl)-2-imidazoline",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16180,-1,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,Glycerophosphocholines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16204,393,Steviol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16208,-1,Prostaglandin G2,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16316,1222,3-O-Benzyl-16-O-tert-butoxycarbonyl-16.alpha.-hydroxyestrone,Steroid esters,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16322,-1,Triethylene glycol monobutyl ether,Ethers,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16325,-1,Prednisolone 21-acetate,Pregnane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16400,1527,Tyr-Val,"Amino acids, peptides, and analogues",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16449,808,17-Phenoxytrinorprostaglandin F2.alpha.,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16464,393,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16703,363,Massbank:PR310583 Hetisine,Lipids and lipid-like molecules,0.6,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16765,272,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-",Gamma butyrolactones,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16849,1239,"Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one",Sesquiterpenoids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16850,272,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-",Gamma butyrolactones,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16870,-1,"Methanone, (1-heptyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16893,-1,Massbank:AC000744 Oxaline,Pyridoindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16907,-1,N-Undecanoyl-L-homoserine lactone,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16919,5422,Docosahexaenoic acid methyl ester,Fatty acid esters,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16940,378,"Massbank:EA278401 DDAO| N,N-dimethyl-1-decanamine oxide|NN-Dimethyldicylamine N-oxide",Aminoxides,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16979,280,"Methanone, (1-pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,0.875,subclass,8,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16997,-1,MianserinHCl,Dibenzazepines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,16999,249,"Dodeca-2(E),4(E)-dienoic acid",Lipids and lipid-like molecules,0.5384615384615384,superclass,13,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17007,2026,Sorbitane Monostearate - Polysorbate 60 in-source fragment,Fatty acid esters,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17010,558,Benzhydrol,Diphenylmethanes,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17012,558,Diphenhydramine,Diphenylmethanes,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17118,-1,Fluprostenol serinolamide,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17174,6637,Tetradecanedioic acid,Fatty acids and conjugates,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17196,-1,rac-7-Oxopramipexole,Carbonyl compounds,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17217,-1,Cycloheximide,Piperidinones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17236,-1,1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),Glycerophosphoglycerols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17239,-1,1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),Glycerophosphoglycerols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17260,2023,"4(Z),7(Z),10(Z),13(Z),16(Z)-N-(2-Hydroxyethyl)docosapentaenamide",Amines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17286,-1,Stearamide,Carboximidic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17315,393,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17445,-1,"Methanone, (1-heptyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17459,245,Hexaethylene glycol,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17494,1961,"3-Hydroxy-6,2',4'-trimethoxyflavone",Flavones,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17548,1065,"NCGC00384694-01_C19H36O11_beta-D-Glucopyranoside, 3-ethyl-4-hydroxy-4-methylpentyl 6-O-[(2S,3R,4R)-tetrahydro-3,4-dihydroxy-4-(hydroxymethyl)-2-furanyl]-",Fatty acyl glycosides,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17604,-1,Pramiracetam,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17624,952,Benzyldimethyltetradecylammonium cation,Phenylmethylamines,0.8333333333333334,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17626,-1,Arachidonoyl-2'-fluoroethylamide,Fatty amides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17630,-1,Monoarachidin,Monoradylglycerols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17655,363,Farnesylthiosalicylamide,Lipids and lipid-like molecules,0.6,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17700,-1,10-Deacetylbaccatin III,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17801,-1,NCGC00380161-01_C20H28O12_6-O-(Phenylacetyl)-alpha-D-glucopyranosyl alpha-D-glucopyranoside,Carbohydrates and carbohydrate conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17873,-1,Massbank:PR304070 Indole-3-acetyl-L-valine,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17961,7124,Tryptophan methyl ester,"Amino acids, peptides, and analogues",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17963,107,Dimethyl azelate,Lipids and lipid-like molecules,0.5555555555555556,superclass,9,Library,16616afa8edd490ea7e50cc316a20222
dataset1,17991,1121,Massbank:LU109902 4-Methoxy-2-methyl-N-phenylaniline,Aminophenyl ethers,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18003,1854,"2,6-Di-tert-butylbenzoquinone",Monoterpenoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18017,718,"Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14",Carbonyl compounds,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18044,1829,Methyl 3-aminobenzoate,Benzoic acids and derivatives,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18050,-1,Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol,Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18090,1003,Pentedrone,Carbonyl compounds,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18098,1583,Decanoyl-L-carnitine,Fatty acid esters,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18119,-1,"Massbank:LU042901 Norethindrone|(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",Estrane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18165,-1,(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide,Carboximidic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18204,147,.beta.-Gentiobiose,Carbohydrates and carbohydrate conjugates,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18214,-1,Arachidonoyl-2'-fluoroethylamide,Fatty amides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18218,-1,"5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)-",Benzenesulfonamides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18287,-1,Solanidine,Steroidal alkaloids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18369,2205,Spectral Match to Decaethylene glycol from NIST14,Ethers,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18446,-1,6-Bromoquinolin-3-ol,Haloquinolines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18448,2586,6-Bromoquinolin-3-ol,Haloquinolines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18472,-1,o-Tolidine,Biphenyls and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18482,952,Benzyldimethyltetradecylammonium cation,Phenylmethylamines,0.8333333333333334,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18502,-1,Chlormadinone acetate,Pregnane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18561,21,Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate,Fatty acid esters,1,subclass,21,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18579,3032,"2,6-Di-tert-butyl-4-hydroxymethylphenol",Phenylpropanes,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18584,-1,Prostaglandin A1 methyl ester,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18604,7204,"(3,6,9-trimethylidene-2-oxo-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-8-yl) acetate",Terpene lactones,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18608,372,Triethylene glycol monobutyl ether,Ethers,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18629,-1,Diacetoxyscirpenol,Sesquiterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18644,-1,Mestranol,Estrane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18660,1480,"1,4-Dihydroxy-2-naphthoic acid",Naphthalenecarboxylic acids and derivatives,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18675,21,3-Hydroxyhexadecanoylcarnitine,Fatty acid esters,1,subclass,21,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18698,1432,Altretamine,Amines,1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18699,2149,"1,9-Dideoxyforskolin",Triterpenoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18707,-1,Spectral Match to Avobenzone from NIST14,Chalcones and dihydrochalcones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18708,952,BENZETHONIUM,Phenylmethylamines,0.8333333333333334,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18714,280,"Methanone, [1-(4-penten-1-yl)-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,0.875,subclass,8,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18746,-1,Drostanolone,Androstane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18765,4392,C17-Sphinganine,Amines,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18769,-1,"Methanone, (1-heptyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18787,245,Pentaethylene glycol,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18794,245,Tetraethylene glycol,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18815,-1,16.beta.-Hydroxyfurazabol,Estrane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18835,4567,MianserinHCl,Dibenzazepines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,18935,2156,16-Phenyltetranorprostaglandin E2,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19114,-1,Orcinol .beta.-D-glucoside,Carbohydrates and carbohydrate conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19126,393,13-cis-Retinal,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19158,4009,Massbank:LU071402 N-[3-(Dimethylamino)propyl]dodecanamide,Fatty amides,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19187,393,4-Pregnene-20.alpha.-ol-3-one,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19232,740,Corey PG-lactone diol,Fatty alcohols,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19314,933,Phe-Leu,"Amino acids, peptides, and analogues",1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19316,1030,Arg-Gly,"Amino acids, peptides, and analogues",1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19370,1473,Decamethylcyclopentasiloxane,Organosilicon compounds,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19442,99,Massbank:RP026303 1-tridecanoyl-2-hydroxy-sn-glycero-3-phosphocholine|1-tridecanoyl-sn-glycero-3-phosphocholine|[(2R)-2-hydroxy-3-tridecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,Glycerophosphocholines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19447,3555,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Phosphate esters,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19492,393,Methyl .alpha.-linolenyl fluorophosphonate,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19529,-1,"NCGC00180491-02_C11H14N4O4S_6H-Purin-6-one, 1,9-dihydro-9-(5-S-methyl-5-thiopentofuranosyl)-",5'-deoxy-5'-thionucleosides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19537,-1,"Massbank: MCLA|Microcystin LA|(5R,8S,11R,12S,15S,18S,19S,22R)-18-[(1E,3E,5S,6S)-6-methoxy-3,5-dimethyl-7-phenylhepta-1,3-dienyl]-1,5,12,15,19-pentamethyl-2-methylidene-8-(2-methylpropyl)-3,6,9,13,16,20,25-hepta",Hybrid peptides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19550,393,Mesterolone,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19562,1858,Tetrahydrocortisol 21-acetate,Pregnane steroids,1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19712,245,Spectral Match to Decaethylene glycol from NIST14,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19728,-1,Leu-Leu-amide,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19741,343,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,Glycerophosphoethanolamines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19941,1128,Mesterolone,Androstane steroids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,19957,393,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
